data_time,price
29:31.8,25297.67
29:32.5,25298.7
29:33.8,25298.7
29:33.8,25298.7
29:34.4,25298.09
29:35.8,25298.09
29:35.9,25298.09
29:36.4,25298.91
29:37.9,25298.91
29:38.1,25298.91
29:38.5,25298.74
29:39.8,25298.74
29:40.3,25298.74
29:40.4,25299.71
29:41.9,25299.71
29:42.4,25301.01
29:42.4,25301.01
29:43.8,25301.01
29:44.3,25301.18
29:44.6,25301.18
29:45.9,25301.18
29:46.4,25302.27
29:46.8,25302.27
29:46.8,25302.27
29:48.4,25300.7
29:48.9,25300.7
29:49.9,25300.7
29:50.4,25295.63
29:51.2,25295.63
29:51.8,25295.63
29:52.6,25296.93
29:52.8,25296.93
31:25.8,25285.04
31:26.4,25285.68
31:27.8,25285.68
31:28.0,25285.68
31:28.5,25284.73
31:29.8,25284.73
31:30.1,25284.73
31:30.4,25284.36
31:31.8,25284.36
31:32.3,25284.36
31:32.4,25283.66
31:33.8,25283.66
31:34.5,25283.66
31:34.5,25281.89
31:35.8,25281.89
31:36.5,25283.41
31:36.6,25283.41
31:36.8,25283.41
31:38.4,25280.08
31:38.8,25280.08
31:39.8,25280.08
31:40.4,25279.55
31:40.9,25279.55
31:41.8,25279.55
31:42.4,25280
31:43.1,25280
31:43.8,25280
31:44.4,25283.67
31:45.3,25283.67
31:45.8,25283.67
31:46.4,25279.91
31:47.4,25279.91
31:47.8,25279.91
31:48.4,25281.01
31:48.8,25281.01
31:49.6,25281.01
31:50.4,25279.79
31:51.7,25279.79
31:51.8,25279.79
31:52.4,25280.12
31:53.8,25280.12
31:53.9,25280.12
31:54.4,25280.3
31:55.8,25280.3
31:56.0,25280.3
31:56.4,25284.5
31:57.8,25284.5
31:58.2,25284.5
31:58.4,25285.25
31:59.8,25285.25
32:00.4,25285.25
32:00.4,25284.84
32:00.7,25284.84
32:01.8,25284.84
32:02.4,25285.26
32:02.5,25285.26
32:02.8,25285.26
32:04.4,25285.03
32:04.7,25285.03
32:05.9,25285.03
32:06.4,25283.87
32:06.9,25283.87
32:07.8,25283.87
32:08.4,25283.65
32:09.0,25283.65
32:09.8,25283.65
32:10.4,25285.88
32:11.2,25285.88
32:11.8,25285.88
32:12.4,25283.4
32:13.3,25283.4
32:13.8,25283.4
32:14.5,25280.76
32:15.5,25280.76
32:15.8,25280.76
32:16.4,25282.88
32:17.7,25282.88
32:17.8,25282.88
32:18.4,25282.92
32:19.8,25282.92
32:19.8,25282.92
32:20.4,25281.89
32:21.8,25281.89
32:21.9,25281.89
32:22.4,25283.98
32:22.8,25283.98
32:24.1,25283.98
32:24.4,25283.89
32:25.8,25283.89
32:26.3,25283.89
32:26.6,25284.32
32:26.8,25284.32
32:28.4,25283.06
32:28.4,25283.06
32:29.8,25283.06
32:30.4,25283.8
32:30.6,25283.8
32:31.8,25283.8
32:32.4,25283.92
32:32.7,25283.92
32:33.8,25283.92
32:34.4,25282.05
32:34.8,25282.05
32:34.9,25282.05
32:36.5,25281.27
32:37.2,25281.27
32:38.0,25281.27
32:38.4,25281.69
32:38.8,25281.69
32:39.3,25281.69
32:40.4,25277.46
32:40.5,25277.46
32:41.5,25277.46
32:41.8,25277.46
32:42.4,25276.59
32:42.5,25276.59
32:43.6,25276.59
32:43.8,25276.59
32:44.4,25276.36
32:44.4,25276.36
32:45.7,25276.36
32:45.8,25276.36
32:46.4,25273.94
32:46.4,25273.94
32:46.8,25273.94
32:47.9,25273.94
32:48.4,25273.56
32:48.4,25273.56
32:49.8,25273.56
32:50.1,25273.56
32:50.4,25272.38
32:50.4,25272.38
32:51.8,25272.38
32:52.2,25272.38
32:52.4,25273.36
32:53.8,25273.36
32:54.4,25271.12
32:54.4,25271.12
32:54.4,25271.12
32:55.8,25271.12
32:56.4,25270.07
32:56.4,25270.07
32:56.6,25270.07
32:57.9,25270.07
32:58.4,25276.23
32:58.7,25276.23
32:59.8,25276.23
33:00.4,25270.76
33:01.1,25270.76
33:01.8,25270.76
33:02.4,25267.49
33:02.4,25267.49
33:03.0,25267.49
33:03.8,25267.49
33:03.8,25267.49
