entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount,merge_count
2025-12-05 10:08:15,1.586,2025-12-05 10:10:12,1.587,117.0,130100.0,6.305170239595774,2.0,4.305170239595775,88.81926999997813,0.0
2025-12-05 10:17:03,1.584,2025-12-05 10:19:03,1.585,120.0,130300.0,6.313131313130618,2.0,4.313131313130618,89.00792999999248,0.0
2025-12-05 10:29:21,1.586,2025-12-05 10:31:21,1.587,120.0,130200.0,6.305170239595774,2.0,4.305170239595775,88.88753999999608,0.0
2025-12-05 10:34:27,1.586,2025-12-05 10:39:03,1.589,276.0,130300.0,18.915510718788724,2.0,16.915510718788724,0.0,1.0
2025-12-05 11:14:06,1.588,2025-12-05 11:16:03,1.589,117.0,130200.0,6.297229219142883,2.0,4.297229219142883,88.83546000000206,0.0
2025-12-05 13:00:03,1.589,2025-12-05 13:03:15,1.594,192.0,130200.0,31.466331025803118,2.0,29.466331025803115,0.0,1.0
2025-12-05 13:13:33,1.591,2025-12-05 13:15:30,1.592,117.0,130400.0,6.285355122565129,2.0,4.285355122565129,88.89368000003742,0.0
2025-12-05 13:43:54,1.594,2025-12-05 13:45:09,1.595,75.0,130200.0,6.273525721454767,2.0,4.273525721454767,88.67921999999089,0.0
2025-12-05 13:52:24,1.594,2025-12-05 13:57:06,1.597,282.0,130300.0,18.820577164365695,2.0,16.82057716436569,0.0,1.0
2025-12-05 14:02:27,1.596,2025-12-05 14:04:00,1.597,93.0,130200.0,6.265664160400313,2.0,4.265664160400313,88.62713999999687,0.0
2025-12-05 14:17:51,1.597,2025-12-05 14:19:45,1.598,114.0,130200.0,6.261740763933075,2.0,4.261740763933075,88.60110000002896,0.0
2025-12-05 14:34:03,1.598,2025-12-05 14:36:00,1.599,117.0,130200.0,6.2578222778466195,2.0,4.2578222778466195,88.57505999997375,0.0
2025-12-08 09:30:15,1.603,2025-12-08 09:31:03,1.604,48.0,129800.0,6.238303181535321,2.0,4.238303181535321,88.17313999999897,0.0
2025-12-08 09:33:12,1.604,2025-12-08 09:34:51,1.605,99.0,129800.0,6.2344139650865955,2.0,4.2344139650865955,88.14717999997083,0.0
2025-12-08 09:37:57,1.603,2025-12-08 09:38:24,1.604,27.0,129900.0,6.238303181535321,2.0,4.238303181535321,88.24106999998912,0.0
2025-12-08 09:39:12,1.603,2025-12-08 09:40:57,1.604,105.0,130000.0,6.238303181535321,2.0,4.238303181535321,88.30900000000838,0.0
2025-12-08 10:16:18,1.595,2025-12-08 10:18:18,1.596,120.0,130700.0,6.26959247648973,2.0,4.269592476489731,88.99363000001176,0.0
2025-12-08 11:05:45,1.591,2025-12-08 11:07:45,1.592,120.0,131100.0,6.285355122565129,2.0,4.285355122565129,89.37087000001338,0.0
2025-12-08 11:14:18,1.589,2025-12-08 11:16:18,1.59,120.0,131300.0,6.293266205161182,2.0,4.293266205161182,89.55973000003723,0.0
2025-12-08 13:13:06,1.588,2025-12-08 13:15:06,1.589,120.0,131400.0,6.297229219142883,2.0,4.297229219142883,89.65421999999671,0.0
2025-12-08 13:53:09,1.587,2025-12-08 13:54:21,1.588,72.0,131600.0,6.301197227473925,2.0,4.301197227473925,89.81700000003912,0.0
2025-12-08 14:24:54,1.587,2025-12-08 14:26:06,1.588,72.0,131600.0,6.301197227473925,2.0,4.301197227473925,89.81700000003912,0.0
