run_id,regime,duration
484,normal:neutral,50
485,normal:trending,50
486,normal:neutral,50
487,normal:trending,50
488,normal:neutral,50
489,normal:trending,56
490,normal:neutral,56
491,normal:trending,50
492,normal:neutral,83
493,normal:trending,50
494,normal:neutral,50
495,normal:trending,50
496,normal:neutral,50
497,normal:trending,51
498,normal:neutral,55
499,normal:trending,53
500,normal:neutral,51
501,normal:trending,97
502,normal:neutral,50
503,normal:trending,58
504,normal:neutral,50
505,normal:trending,52
506,normal:neutral,50
507,normal:trending,76
508,normal:neutral,9
509,illiquid:neutral,30
510,normal:neutral,39
511,illiquid:neutral,30
512,normal:neutral,50
513,illiquid:neutral,30
514,normal:neutral,50
515,normal:trending,50
516,normal:neutral,66
517,normal:trending,9
518,illiquid:neutral,30
519,normal:neutral,56
520,illiquid:neutral,223
521,normal:neutral,30
522,illiquid:neutral,52
523,normal:neutral,30
524,illiquid:neutral,162
525,normal:neutral,30
526,illiquid:neutral,131
527,normal:neutral,50
528,normal:trending,53
529,normal:neutral,50
530,normal:trending,53
531,normal:neutral,50
532,normal:trending,50
533,normal:neutral,50
534,normal:trending,50
535,normal:neutral,50
536,normal:trending,75
537,normal:neutral,50
538,normal:trending,52
539,normal:neutral,50
540,normal:trending,55
541,normal:neutral,50
542,normal:trending,68
543,normal:neutral,61
544,normal:trending,50
545,normal:neutral,50
546,normal:trending,82
547,normal:neutral,50
548,normal:trending,50
549,normal:neutral,50
550,normal:trending,50
551,normal:neutral,50
552,normal:trending,69
553,normal:neutral,50
554,normal:trending,51
555,normal:neutral,50
556,normal:trending,70
557,normal:neutral,63
558,normal:trending,50
559,normal:neutral,52
560,normal:trending,50
561,normal:neutral,52
562,normal:trending,52
563,normal:neutral,67
564,normal:trending,56
565,normal:neutral,50
566,normal:trending,58
567,normal:neutral,50
568,normal:trending,50
569,normal:neutral,74
570,normal:trending,60
571,normal:neutral,65
572,normal:trending,78
573,normal:neutral,50
574,normal:trending,64
575,normal:neutral,68
576,normal:trending,50
577,normal:neutral,51
578,normal:trending,50
579,normal:neutral,50
580,normal:trending,50
581,normal:neutral,57
582,normal:trending,50
583,normal:neutral,57
